firm_id,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant
929,300.0,17.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
935,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
946,Unknown,Unknown,Unknown,6.0,65000.0,2200000.0,34000.0,0.0,0.0,0.0,2.0,2.0,50.0
978,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1033,Unknown,Unknown,Unknown,6.0,0.1,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0
1041,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1132,9.0,1.0,3.0,0.0,20000.0,30000.0,30000.0,0.0,0.0,0.0,2.0,2.0,50.0
1170,335.0,20.0,5.0,3.0,120000.0,500000.0,40000.0,0.0,0.0,0.0,2.0,2.0,80.0
1187,184.0,25.0,7.0,6.0,200000.0,1200000.0,140000.0,0.0,0.0,0.0,2.0,2.0,100.0
1209,3.0,31.0,1.0,28.0,180000.0,800000.0,120000.0,0.0,0.0,0.0,2.0,2.0,20.0
1213,50.0,32.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1217,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1222,184.0,25.0,7.0,0.0,300000.0,2000000.0,100000.0,0.0,1.0,0.0,2.0,2.0,50.0
1272,52.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1297,22.0,18.0,4.0,5.0,4800000.0,40000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0
1313,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1318,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1319,43.0,30.0,1.0,9.0,160000.0,2000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,30.0
1332,Unknown,Unknown,Unknown,6.0,380000.0,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0
1435,196.0,4.0,3.0,3.0,500000.0,1000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,20.0
1442,52.0,25.0,7.0,1.0,60000.0,550000.0,35000.0,0.0,0.0,0.0,2.0,2.0,50.0
1484,1.0,33.0,2.0,4.0,800000.0,6000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,90.0
1503,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1577,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1587,Unknown,Unknown,Unknown,6.0,125000.0,2200000.0,45000.0,0.0,0.0,0.0,2.0,2.0,50.0
1623,50.0,32.0,6.0,0.0,400000.0,950000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1667,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,60.0
1710,Unknown,Unknown,Unknown,6.0,750000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1756,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
1794,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0
